AnimalID,Age,Nutrients,Animal,Exp,t h a1,t h t1,t h t2,t h i,h h a1,h h t1,h h t2,h h i,t bwm a1,t bwm t1,t bwm t2,t bwm i,h bwm a1,h bwm t1,h bwm t2,h bwm i,pm a1,pm t1,pm t2,pm i,g a1,g t1,g t2,g i
CMFLIM14 Day7 AL Animal8,7,AL,8,CMFLIM14,0.697669079,0.52814,2.810859,9792.211437,0.723857384,0.5195375,2.7508775,6526.369995,0.743287155,0.527502,2.461159,6288.580702,0.685985135,0.6764695,2.807405,5364.664296,0.709834794,0.591477,2.8008825,7061.36659,0.640590814,0.6621165,3.081514,4112.524462
CMFLIM14 Day7 AL Animal9,7,AL,9,CMFLIM14,0.51679297,0.5848825,4.3695005,5146.321653,0.674835918,0.6244225,3.0938805,9176.359947,0.722057614,0.584371,3.3565915,3217.08987,0.736731869,0.5848705,2.7181255,7056.102837,0.716623563,0.592917,2.7472485,6575.26811,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day7 DR Animal1,7,DR,1,CMFLIM10,0.650674145,0.583028,2.730628,6290.821724,0.581233546,0.5822565,2.7892335,7438.209477,0.682389593,0.6033305,2.8049035,4129.276854,0.71045304,0.578346,2.669681,7390.650821,0.731515353,0.5816135,2.697935,6771.303317,0.691204398,0.5761075,2.898256,2952.916651
CMFLIM14 Day7 DR Animal1,7,DR,1,CMFLIM14,0.695856231,0.5916645,2.996253,5059.043923,0.703733355,0.584696,3.087665,7176.842207,0.670012572,0.5791935,2.8585245,1880.786573,0.721329066,0.6011905,3.0603675,3750.734312,0.712820793,0.632648,3.0035925,6255.651051,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day7 DR Animal2,7,DR,2,CMFLIM10,#N/A,#N/A,#N/A,#N/A,0.615812898,0.723628,3.875912,7344.777277,#N/A,#N/A,#N/A,#N/A,0.704294182,0.574443,2.909561,2842.189335,0.617913287,0.68243,3.608593,6566.883363,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day7 DR Animal3,7,DR,3,CMFLIM10,0.713454154,0.51502,2.7642505,6264.046938,0.663702317,0.5292945,2.804205,13236.73794,0.759622297,0.5601955,2.7018865,3744.81757,0.739025349,0.64358,3.1474965,5622.719731,0.691901559,0.6517755,2.7430035,7076.551416,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal3,7,DR,3,CMFLIM14,0.645930722,0.5688545,2.9571285,5990.06985,0.648813927,0.589542,2.9956305,8844.915105,0.671363818,0.5220645,2.652955,2312.554293,0.674148633,0.567946,2.86369,4161.500315,0.706896802,0.649227,3.09675,8704.564303,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day7 DR Animal4,7,DR,4,CMFLIM10,0.542078688,0.7366825,3.8044475,16895.44186,0.551775056,0.6717985,4.0878045,7975.333455,0.715052616,0.644385,3.3192,6414.606051,0.647088061,0.7476895,3.8550315,8526.132267,0.676934669,0.698067,3.2400895,8789.096363,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal4,7,DR,4,CMFLIM14,0.696298578,0.553173,2.966211,15988.23361,0.674192664,0.5408935,2.775321,11848.58045,0.74077295,0.506403,2.556109,5518.393765,0.749419302,0.6650345,2.822463,7446.749462,0.751724932,0.5565505,2.4927055,10174.52247,0.656599973,0.541783,2.7885345,5546.001661
CMFLIM10 Day7 DR Animal5,7,DR,5,CMFLIM10,0.568785031,0.619309,3.8664725,7574.629537,0.604574912,0.6964805,3.5022525,7394.664858,0.622450036,0.599767,3.5899985,3532.141719,0.656420406,0.611053,3.369486,4407.211432,0.697986159,0.5527955,3.043102,3631.498119,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal5,7,DR,5,CMFLIM14,0.64280932,0.6082935,3.1036975,7207.705877,0.773327202,0.634233,3.249703,5744.902118,0.759072113,0.616759,2.67284,4511.59628,0.793268142,0.65806,3.0589575,2355.924985,0.811127181,0.5577995,2.730391,3480.033782,0.733261481,0.578662,3.3279145,3025.668552
CMFLIM10 Day7 DR Animal6,7,DR,6,CMFLIM10,0.501038399,0.6198525,3.77154,11140.87809,0.516296272,0.505462,3.2510085,5668.538901,0.560119166,0.591248,3.9397705,8595.652433,#N/A,#N/A,#N/A,#N/A,0.603779278,0.653305,4.0621015,4888.362854,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 DR Animal6,7,DR,6,CMFLIM14,0.649262342,0.6517435,3.165059,4851.651561,0.684542925,0.5884625,3.0796335,5589.292587,0.757533879,0.569898,2.6522735,4067.440637,0.760655518,0.681309,3.2523165,4253.072486,0.773911599,0.588646,2.989224,4714.564343,0.737774916,0.5489165,2.926681,5137.16981
CMFLIM10 Day7 DR Animal7,7,DR,7,CMFLIM10,0.525280263,0.586651,3.9832335,10359.52041,0.585751287,0.5863215,3.4500185,8974.844834,0.702143043,0.5713595,2.983382,5874.619994,0.664096205,0.64926,3.2677595,8906.819713,0.666477668,0.637628,2.9638865,9822.131983,#N/A,#N/A,#N/A,#N/A
